ZIP,confirmed_cases,population,Income_level,driving,transit,walking,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Granada Hills,315.55970149253733,50535.0,2.0,77.68634328358206,34.802014925373136,80.86000000000003,-40.82089552238806,-13.873134328358208,-21.059701492537314,-44.02238805970149,-40.223880597014926,17.08955223880597
Hacienda Heights,226.96774193548387,53525.0,2.0,79.79193548387096,34.987903225806456,83.29419354838711,-40.92741935483871,-14.112903225806452,-20.411290322580644,-43.975806451612904,-40.20161290322581,16.887096774193548
Hancock Park,86.93893129770993,9804.0,2.0,78.01015267175569,34.64305343511451,81.36832061068704,-41.11450381679389,-14.297709923664122,-21.061068702290076,-44.25190839694657,-40.404580152671755,17.114503816793892
Harbor City,130.73387096774192,23561.0,2.0,79.79193548387096,34.987903225806456,83.29419354838711,-40.92741935483871,-14.112903225806452,-20.411290322580644,-43.975806451612904,-40.20161290322581,16.887096774193548
Harbor Gateway,202.82539682539684,39688.0,2.0,79.25857142857141,34.87325396825398,82.70634920634922,-40.96031746031746,-14.206349206349206,-20.634920634920636,-44.07936507936508,-40.34920634920635,16.99206349206349
Harvard Heights,152.484126984127,18587.0,1.0,79.25857142857141,34.87325396825398,82.70634920634922,-40.96031746031746,-14.206349206349206,-20.634920634920636,-44.07936507936508,-40.34920634920635,16.99206349206349
Harvard Park,395.2113821138211,10297.0,1.0,80.02382113821137,35.044796747967474,83.56479674796749,-40.89430894308943,-14.073170731707316,-20.30081300813008,-43.91869918699187,-40.13008130081301,16.821138211382113
Hawthorne,465.2671755725191,86265.0,1.0,78.01015267175569,34.64305343511451,81.36832061068704,-41.11450381679389,-14.297709923664122,-21.061068702290076,-44.25190839694657,-40.404580152671755,17.114503816793892
Highland Park,276.13492063492066,57566.0,2.0,79.25857142857141,34.87325396825398,82.70634920634922,-40.96031746031746,-14.206349206349206,-20.634920634920636,-44.07936507936508,-40.34920634920635,16.99206349206349
Hollywood,321.77272727272725,77818.0,1.0,77.86689393939392,34.65886363636364,81.15492424242426,-41.04545454545455,-14.166666666666666,-21.12878787878788,-44.21212121212121,-40.36363636363637,17.12121212121212
Hollywood Hills,91.60606060606061,21588.0,2.0,77.86689393939392,34.65886363636364,81.15492424242426,-41.04545454545455,-14.166666666666666,-21.12878787878788,-44.21212121212121,-40.36363636363637,17.12121212121212
Huntington Park,700.9672131147541,61370.0,1.0,80.32573770491803,35.14081967213115,83.86270491803279,-40.81967213114754,-14.01639344262295,-20.040983606557376,-43.85245901639344,-40.13934426229508,16.795081967213115
Hyde Park,186.62992125984252,36635.0,1.0,78.99866141732281,34.82866141732284,82.42118110236221,-40.976377952755904,-14.251968503937007,-20.74015748031496,-44.125984251968504,-40.41732283464567,17.03937007874016
