ZIP,confirmed_cases,population,Income_level,driving,transit,walking,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Echo Park,85.15976331360947,40455.0,1.0,85.15905325443786,37.49059171597635,89.53218934911243,-38.62721893491124,-13.597633136094675,-17.266272189349113,-43.44378698224852,-39.77514792899408,16.106508875739646
El Monte,1611.5696202531647,116249.0,1.0,87.8370253164557,38.14139240506332,92.4673417721519,-38.221518987341774,-13.360759493670885,-15.987341772151899,-43.050632911392405,-39.55696202531646,15.784810126582279
El Segundo,55.20238095238095,15970.0,2.0,85.31416666666667,37.49511904761907,89.74845238095239,-38.666666666666664,-13.696428571428571,-17.19047619047619,-43.470238095238095,-39.80357142857143,16.095238095238095
El Sereno,455.025,40954.0,2.0,87.22737500000001,37.94656250000001,91.856,-38.375,-13.49375,-16.4125,-43.175,-39.5625,15.81875
Encino,214.4360465116279,41905.0,2.0,84.86819767441861,37.643546511627925,89.05098837209303,-38.366279069767444,-13.226744186046512,-17.38953488372093,-43.22093023255814,-39.56976744186046,16.063953488372093
Exposition Park,503.6060606060606,31062.0,1.0,86.01375757575758,37.666424242424256,90.5010303030303,-38.52121212121212,-13.67878787878788,-16.939393939393938,-43.38787878787879,-39.842424242424244,16.048484848484847
Gardena,464.63953488372096,57818.0,2.0,84.86819767441861,37.643546511627925,89.05098837209303,-38.366279069767444,-13.226744186046512,-17.38953488372093,-43.22093023255814,-39.56976744186046,16.063953488372093
Glassell Park,290.64814814814815,23467.0,2.0,86.75327160493828,37.818086419753115,91.31537037037036,-38.44444444444444,-13.567901234567902,-16.635802469135804,-43.27160493827161,-39.68518518518518,15.925925925925926
Glendale,1352.8720930232557,195047.0,2.0,84.86819767441861,37.643546511627925,89.05098837209303,-38.366279069767444,-13.226744186046512,-17.38953488372093,-43.22093023255814,-39.56976744186046,16.063953488372093
Glendora,428.20958083832335,50177.0,2.0,85.642874251497,37.65748502994014,90.03203592814371,-38.48502994011976,-13.598802395209582,-17.191616766467067,-43.365269461077844,-39.724550898203596,16.017964071856287
Granada Hills,461.2674418604651,50535.0,2.0,84.86819767441861,37.643546511627925,89.05098837209303,-38.366279069767444,-13.226744186046512,-17.38953488372093,-43.22093023255814,-39.56976744186046,16.063953488372093
