ZIP,confirmed_cases,population,Income_level,driving,transit,walking,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Sherman Oaks,274.7482014388489,61166.0,2.0,78.91841726618702,35.30107913669065,82.12467625899284,-40.410071942446045,-13.755395683453237,-20.33812949640288,-43.83453237410072,-40.273381294964025,16.985611510791365
Silverlake,206.64233576642334,30972.0,2.0,79.22459854014598,35.306277372262784,82.5482481751825,-40.47445255474452,-13.941605839416058,-20.204379562043794,-43.86861313868613,-40.306569343065696,16.94160583941606
South El Monte,192.6198347107438,20935.0,2.0,83.38322314049583,36.16553719008265,87.01851239669422,-40.20661157024794,-13.545454545454545,-18.33884297520661,-43.27272727272727,-39.72727272727273,16.40495867768595
South Gate,1098.5187969924812,96418.0,2.0,79.98879699248118,35.318796992481204,83.41556390977445,-40.54887218045113,-14.150375939849624,-20.082706766917294,-43.962406015037594,-40.51127819548872,16.969924812030076
South Park,545.5227272727273,30496.0,1.0,80.24636363636361,35.35318181818183,83.69378787878789,-40.53787878787879,-14.113636363636363,-19.992424242424242,-43.92424242424242,-40.46212121212121,16.931818181818183
South Pasadena,110.3021582733813,24303.0,2.0,78.91841726618702,35.30107913669065,82.12467625899284,-40.410071942446045,-13.755395683453237,-20.33812949640288,-43.83453237410072,-40.273381294964025,16.985611510791365
South Whittier,345.1925925925926,55285.0,2.0,79.42392592592591,35.173777777777794,82.86162962962965,-40.68888888888889,-14.22962962962963,-20.25925925925926,-44.05185185185185,-40.44444444444444,16.97037037037037
Stevenson Ranch,42.654411764705884,8609.0,2.0,79.25749999999998,35.158970588235306,82.64220588235295,-40.68382352941177,-14.161764705882353,-20.323529411764707,-44.0514705882353,-40.4485294117647,17.00735294117647
Studio City,82.92647058823529,34034.0,2.0,79.25749999999998,35.158970588235306,82.64220588235295,-40.68382352941177,-14.161764705882353,-20.323529411764707,-44.0514705882353,-40.4485294117647,17.00735294117647
Sun Valley,369.7985074626866,75848.0,2.0,79.66186567164178,35.23104477611941,83.08888059701493,-40.634328358208954,-14.238805970149254,-20.20149253731343,-44.03731343283582,-40.492537313432834,16.96268656716418
Sunland,154.4436090225564,15316.0,2.0,79.87533834586465,35.28548872180452,83.33759398496241,-40.6015037593985,-14.203007518796992,-20.097744360902254,-43.984962406015036,-40.42857142857143,16.902255639097746
Sylmar,873.0802919708029,69499.0,2.0,79.11036496350363,35.17043795620439,82.42729927007301,-40.62043795620438,-14.036496350364963,-20.394160583941606,-44.01459854014598,-40.40875912408759,17.014598540145986
Tarzana,208.89208633093526,35502.0,2.0,78.91841726618702,35.30107913669065,82.12467625899284,-40.410071942446045,-13.755395683453237,-20.33812949640288,-43.83453237410072,-40.273381294964025,16.985611510791365
